time,user_name,user_color,message
245,senor_kekw,,"GG"
248,karaapina,#00FF7F,"gg"
253,j0ssu,#8A2BE2,"hupikotkat xff"
253,zzzjeeeee,#008000,"HAH FAILCONS HAH"
254,worisito,#0000FF,"Tätä paskaa on kyllä ihana vihakatsoa"
256,31lux12,#FF69B4,"gg"
267,rreissi,,"@worisito tämä niin vahvasti"
269,santsuh1,,"onko falkkonssiki iha paska"
269,zzzjeeeee,#008000,"HAH"
276,raattani,#B22222,"HAH"
277,zzzjeeeee,#008000,"HAHHAH"
279,penttisolav,#0000FF,"HAH"
280,tomskatv,#0000FF,"D: t-sana"
283,captbablobronzebeard,#FF69B4,"paskan_puhuja"
285,naukahti,#9ACD32,"työkaveri"
287,hed93,#8A2BE2,"miksi meni lähetys poikki?"
287,skuttsi,,"kuulemma kickistä tulee seuraavat majorit"
288,rumpp1plays,#B22222,"Millos ne seuraavat majorit o"
291,navixhf,#D6FF00,"eii perhana huomena joutuu tekemään töitä ilman luottotyökaveria joka nauttii suuresti vuoden 2025 lihamukista."
299,roposedo,,"Ei tarvi kattoo kummastakaan ku on livenä paikalla"
303,rrreksa,,"hyi helvetti"
315,jankko77,,"olvari millo töihi?"
320,icefreeze1155,,"ei t-sanaa, sattuu korviin"
327,koudero,,"Lihaa ja muki"
329,navixhf,#D6FF00,"nakkixDDD"
329,sami_zampp90,#FF69B4,"LUL"
330,neea_owo,#FF69B4,"Nakki?"
330,raattani,#B22222,"HAH"
330,rranu_,#00FF7F,"Ei kyllä paljoo paskempaa limsaa löydy ku Dr Pepper"
333,hembeers,#FF0000,"xff"
333,eberx_,#0000FF,"xff"
335,lepponenmane,#00FF7F,"xff"
335,rranu_,#00FF7F,"JA sampalle huutikset"
336,zzzjeeeee,#008000,"xff"
336,raattani,#B22222,"xffong"
337,captbablobronzebeard,#FF69B4,"xff"
337,vi1q_thugger,#FF69B4,"xff"
337,olvarinpikkuvarpaankarva,,"Nakki??????"
337,jomenaa,#1E90FF,"pelSamppa"
339,kvaakmito,#FF69B4,"Kebab"
339,tomskatv,#0000FF,"xffong"
339,niinniiinn,,"samppa mitä vittua. kenkää"
339,naukahti,#9ACD32,"xff"
339,j0ntzu,#FFA343,"xff"
340,mixu77,#8A2BE2,"xffong"
341,stroemt,#2E8B57,"xff"
341,riksu__,#1E90FF,"?"
342,wetsimo,#FFFFFF,"yks nakki sinne mukiin vaikka"
342,karstahiisaaja,,"mihin striimi katos?"
343,hembeers,#FF0000,"paskasamppa"
343,flybymoon,#FF0000,"Olvari crashout"
344,jyrqu,,"Viekää mut houtoon"
344,hizbe,#1E90FF,"Oli ihan paskoja ne HK:n lihamukit mitä sai jäähallilta"
345,skuttsi,,"oon luullu että se on kebulla"
345,eetusqt,#AFFF25,"xff"
346,eberx_,#0000FF,"xff xff"
348,shaliban,#FF69B4,""nyt ulos täältä""
349,vehola,#FF0000,"Lahteen ei oo Sampalla asiaa"
350,rapass,,"@rranu_ dr pöpö on paras limsa jos ymmärtää hyvän päälle"
350,zzzjeeeee,#008000,"nakki ja makkara xff"
351,olvarinpikkuvarpaankarva,,"Lihamuki vittu"
354,jyrqu,,"Samppa GG"
356,h3rbzz,#FF00D6,"KEBAB PIENI KAALISALAATTI HÖYSTÄ KASTIKKEET JA 1 KPLS JALAPENO"
362,homosipuli,#0000FF,"ohho"
366,riksu__,#1E90FF,"ässä!!!"
368,rranu_,#00FF7F,"@rapass kyl se pepsi max vie itellä ainaki voiton"
368,kansalainenlaura,,"nakkimuki"
373,oddss,#CC00A7,"vitun samppa"
375,jsaddg,,"riippuu lihamukista :) Lahdessa saa kunnon lihastakin lihamukin eikä aina vain kebabista :D"
376,sylvesterfin,#FF0000,"Pakkaa kamppees ja ULOS!"
382,taikausko,#1E90FF,"Mitä tulee kasvismukii?"
386,karstahiisaaja,,"lahessa on keksitty jatkettu piri"
386,j0ssu,#8A2BE2,"xff"
386,sami_zampp90,#FF69B4,"LUL LUL"
387,raattani,#B22222,"xff"
387,miroooh__,#1E90FF,"xff"
387,burecrs,#008000,"xff"
387,jomenaa,#1E90FF,"xffong"
388,frrrreezy,#8A2BE2,"xff"
389,elmansu,#0000FF,"muki pois. Lihat taskuun"
390,oltsu86,#8A2BE2,"xff"
391,hed93,#8A2BE2,"mitä tulee Samppa vegemukiin?"
391,soiro86,,"LUL LUL LUL"
393,henups,#00FF7F,"xff"
395,oonraimo,#00FF7F,"nyt lahti käsistä"
395,veedubtw,#FF69B4,"harmi"
398,captbablobronzebeard,#FF69B4,"lihasalaattimuki"
402,jomenaa,#1E90FF,"@oonraimo LO"
402,zzzjeeeee,#008000,"xdd"
407,sonnipitkanen,,"Oho juontis suuttu"
410,oddss,#CC00A7,"salaattimuki"
410,jsaddg,,"Burger Mafian kassler lihamuki on jees"
411,ggjali,#1E90FF,"lihamuki ilman lihaa"
412,hizbe,#1E90FF,"Lahtelaine paskamuki"
413,captbablobronzebeard,#FF69B4,"vittu"
415,kunnonsikanauta,#1E90FF,"jätkä suuttu oikeesti"
416,olvarinpikkuvarpaankarva,,"Salaattimuki lihalla"
427,h3rbzz,#FF00D6,"Olvarin pelsun pelien selostus on jatkossa peruttu, toivoo pekko pelikaani"
428,captbablobronzebeard,#FF69B4,"seuraavaks ne tarjoilee sen lautasella"
432,tomi,#D2691E,"Nobelin rauhanpalkinnon saajaksi on valittu Maria Corina Machado. Onnea voittajalle! 🥳"
433,icefreeze1155,,"palionko falconsilla o voittoprosentti infis?"
455,olvarinpikkuvarpaankarva,,"@toMi Ketä"
456,naukahti,#9ACD32,"mieluummin otan salaattia sinne kun nakkia"
458,kepulipvp,#5F9EA0,"Jahah, Olvarilla taas menny Lahti ja lahtelaiset tunteisiin. Se on oikein."
460,hydeeee_,,"@icefreeze1155 43 rossaa"
464,captbablobronzebeard,#FF69B4,"@toMi mistä?"
471,zzzjeeeee,#008000,"!pallit"
471,nightbot,#7C7CE1,"https://www.twitch.tv/pelaajatcom/clip/ReliableObliqueHippoSaltBae-Kq-14_hhfNntxa1h"
474,ani_,#FF7F50,"onneks tuli mainos nii ei tarvinnu kuunnella olvarin paasausta ani446Moti"
475,hed93,#8A2BE2,"Voisko Olvari huljuttaa sormia mun lihamukissa?"
478,koudero,,"xff"
481,navixhf,#D6FF00,"nakkimukin."
493,tomi,#D2691E,"María Corina Machado Parisca (born 7 October 1967) is a Venezuelan politician and industrial engineer who is currently opposition leader in Venezuela."
499,sylvesterfin,#FF0000,"Onneks ei tullut lyötyä vetoa Nobelista."
511,tatuuh,#0000FF,"@pelaajatcom Huomenta, missä kohtaa ekan matsin alkamisaikaa oli vaihdettu klo 10:stä?"
520,riqumato,#FF0000,"@tatuuh joo"
